"rho","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.0027228,-2.1366e-14,0,1,25.74,49.5,25.74,0
1,0.0027298,-2.1458e-14,0,1,25.839,49.5,25.839,0
1,0.0027368,-2.155e-14,0,1,25.938,49.5,25.938,0
1,0.0027437,-2.1612e-14,0,1,26.037,49.5,26.037,0
1,0.0027505,-2.1625e-14,0,1,26.136,49.5,26.136,0
1,0.0027572,-2.1637e-14,0,1,26.235,49.5,26.235,0
1,0.002764,-2.1649e-14,0,1,26.334,49.5,26.334,0
1,0.0027707,-2.1662e-14,0,1,26.433,49.5,26.433,0
1,0.0027774,-2.1674e-14,0,1,26.532,49.5,26.532,0
1,0.0027842,-2.1687e-14,0,1,26.631,49.5,26.631,0
1,0.0027909,-2.1699e-14,0,1,26.73,49.5,26.73,0
1,0.0027977,-2.1711e-14,0,1,26.829,49.5,26.829,0
1,0.0028044,-2.1724e-14,0,1,26.928,49.5,26.928,0
1,0.002811,-2.1759e-14,0,1,27.027,49.5,27.027,0
1,0.0028175,-2.1855e-14,0,1,27.126,49.5,27.126,0
1,0.0028239,-2.1951e-14,0,1,27.225,49.5,27.225,0
1,0.0028304,-2.2047e-14,0,1,27.324,49.5,27.324,0
1,0.0028368,-2.2144e-14,0,1,27.423,49.5,27.423,0
1,0.0028433,-2.224e-14,0,1,27.522,49.5,27.522,0
1,0.0028497,-2.2336e-14,0,1,27.621,49.5,27.621,0
1,0.0028562,-2.2432e-14,0,1,27.72,49.5,27.72,0
1,0.0028626,-2.2528e-14,0,1,27.819,49.5,27.819,0
1,0.0028691,-2.2624e-14,0,1,27.918,49.5,27.918,0
1,0.0028754,-2.2705e-14,0,1,28.017,49.5,28.017,0
1,0.0028816,-2.2707e-14,0,1,28.116,49.5,28.116,0
1,0.0028878,-2.271e-14,0,1,28.215,49.5,28.215,0
1,0.0028939,-2.2713e-14,0,1,28.314,49.5,28.314,0
1,0.0029001,-2.2716e-14,0,1,28.413,49.5,28.413,0
1,0.0029062,-2.2718e-14,0,1,28.512,49.5,28.512,0
1,0.0029124,-2.2721e-14,0,1,28.611,49.5,28.611,0
1,0.0029185,-2.2724e-14,0,1,28.71,49.5,28.71,0
1,0.0029247,-2.2727e-14,0,1,28.809,49.5,28.809,0
1,0.0029308,-2.2729e-14,0,1,28.908,49.5,28.908,0
1,0.0029369,-2.2741e-14,0,1,29.007,49.5,29.007,0
1,0.0029428,-2.2873e-14,0,1,29.106,49.5,29.106,0
1,0.0029487,-2.3005e-14,0,1,29.205,49.5,29.205,0
1,0.0029545,-2.3137e-14,0,1,29.304,49.5,29.304,0
1,0.0029604,-2.3269e-14,0,1,29.403,49.5,29.403,0
1,0.0029662,-2.3401e-14,0,1,29.502,49.5,29.502,0
1,0.0029721,-2.3533e-14,0,1,29.601,49.5,29.601,0
1,0.0029779,-2.3664e-14,0,1,29.7,49.5,29.7,0
1,0.0029838,-2.3796e-14,0,1,29.799,49.5,29.799,0
1,0.0029897,-2.3928e-14,0,1,29.898,49.5,29.898,0
1,0.0029955,-2.406e-14,0,1,29.997,49.5,29.997,0
1,0.0030011,-2.4083e-14,0,1,30.096,49.5,30.096,0
1,0.0030067,-2.4102e-14,0,1,30.195,49.5,30.195,0
1,0.0030122,-2.4121e-14,0,1,30.294,49.5,30.294,0
1,0.0030178,-2.414e-14,0,1,30.393,49.5,30.393,0
1,0.0030234,-2.416e-14,0,1,30.492,49.5,30.492,0
1,0.0030289,-2.4179e-14,0,1,30.591,49.5,30.591,0
1,0.0030345,-2.4198e-14,0,1,30.69,49.5,30.69,0
1,0.00304,-2.4217e-14,0,1,30.789,49.5,30.789,0
1,0.0030456,-2.4237e-14,0,1,30.888,49.5,30.888,0
1,0.0030512,-2.4256e-14,0,1,30.987,49.5,30.987,0
1,0.0030565,-2.4345e-14,0,1,31.086,49.5,31.086,0
1,0.0030618,-2.4446e-14,0,1,31.185,49.5,31.185,0
1,0.003067,-2.4546e-14,0,1,31.284,49.5,31.284,0
1,0.0030723,-2.4646e-14,0,1,31.383,49.5,31.383,0
1,0.0030776,-2.4747e-14,0,1,31.482,49.5,31.482,0
1,0.0030828,-2.4847e-14,0,1,31.581,49.5,31.581,0
1,0.0030881,-2.4947e-14,0,1,31.68,49.5,31.68,0
1,0.0030934,-2.5048e-14,0,1,31.779,49.5,31.779,0
1,0.0030987,-2.5148e-14,0,1,31.878,49.5,31.878,0
1,0.0031039,-2.5248e-14,0,1,31.977,49.5,31.977,0
1,0.003109,-2.5246e-14,0,1,32.076,49.5,32.076,0
1,0.0031139,-2.5213e-14,0,1,32.175,49.5,32.175,0
1,0.0031189,-2.518e-14,0,1,32.274,49.5,32.274,0
1,0.0031239,-2.5147e-14,0,1,32.373,49.5,32.373,0
1,0.0031289,-2.5114e-14,0,1,32.472,49.5,32.472,0
1,0.0031339,-2.5081e-14,0,1,32.571,49.5,32.571,0
1,0.0031388,-2.5048e-14,0,1,32.67,49.5,32.67,0
1,0.0031438,-2.5015e-14,0,1,32.769,49.5,32.769,0
1,0.0031488,-2.4982e-14,0,1,32.868,49.5,32.868,0
1,0.0031538,-2.4949e-14,0,1,32.967,49.5,32.967,0
1,0.0031586,-2.501e-14,0,1,33.066,49.5,33.066,0
1,0.0031632,-2.5117e-14,0,1,33.165,49.5,33.165,0
1,0.0031679,-2.5224e-14,0,1,33.264,49.5,33.264,0
1,0.0031726,-2.5331e-14,0,1,33.363,49.5,33.363,0
1,0.0031773,-2.5438e-14,0,1,33.462,49.5,33.462,0
1,0.003182,-2.5546e-14,0,1,33.561,49.5,33.561,0
1,0.0031867,-2.5653e-14,0,1,33.66,49.5,33.66,0
1,0.0031913,-2.576e-14,0,1,33.759,49.5,33.759,0
1,0.003196,-2.5867e-14,0,1,33.858,49.5,33.858,0
1,0.0032007,-2.5974e-14,0,1,33.957,49.5,33.957,0
1,0.0032052,-2.6021e-14,0,1,34.056,49.5,34.056,0
1,0.0032096,-2.6021e-14,0,1,34.155,49.5,34.155,0
1,0.003214,-2.6021e-14,0,1,34.254,49.5,34.254,0
1,0.0032184,-2.6021e-14,0,1,34.353,49.5,34.353,0
1,0.0032228,-2.6021e-14,0,1,34.452,49.5,34.452,0
1,0.0032272,-2.6021e-14,0,1,34.551,49.5,34.551,0
1,0.0032316,-2.6021e-14,0,1,34.65,49.5,34.65,0
1,0.003236,-2.6021e-14,0,1,34.749,49.5,34.749,0
1,0.0032404,-2.6021e-14,0,1,34.848,49.5,34.848,0
1,0.0032448,-2.6021e-14,0,1,34.947,49.5,34.947,0
1,0.003249,-2.6065e-14,0,1,35.046,49.5,35.046,0
1,0.0032531,-2.616e-14,0,1,35.145,49.5,35.145,0
1,0.0032572,-2.6254e-14,0,1,35.244,49.5,35.244,0
1,0.0032613,-2.6349e-14,0,1,35.343,49.5,35.343,0
1,0.0032654,-2.6444e-14,0,1,35.442,49.5,35.442,0
1,0.0032695,-2.6539e-14,0,1,35.541,49.5,35.541,0
1,0.0032736,-2.6634e-14,0,1,35.64,49.5,35.64,0
1,0.0032777,-2.6728e-14,0,1,35.739,49.5,35.739,0
1,0.0032818,-2.6823e-14,0,1,35.838,49.5,35.838,0
1,0.0032859,-2.6918e-14,0,1,35.937,49.5,35.937,0
1,0.0032899,-2.6977e-14,0,1,36.036,49.5,36.036,0
1,0.0032937,-2.6973e-14,0,1,36.135,49.5,36.135,0
1,0.0032975,-2.6969e-14,0,1,36.234,49.5,36.234,0
1,0.0033013,-2.6965e-14,0,1,36.333,49.5,36.333,0
1,0.0033051,-2.696e-14,0,1,36.432,49.5,36.432,0
1,0.0033089,-2.6956e-14,0,1,36.531,49.5,36.531,0
1,0.0033127,-2.6952e-14,0,1,36.63,49.5,36.63,0
1,0.0033165,-2.6948e-14,0,1,36.729,49.5,36.729,0
1,0.0033203,-2.6944e-14,0,1,36.828,49.5,36.828,0
1,0.0033241,-2.694e-14,0,1,36.927,49.5,36.927,0
1,0.0033279,-2.6956e-14,0,1,37.026,49.5,37.026,0
1,0.0033314,-2.703e-14,0,1,37.125,49.5,37.125,0
1,0.0033349,-2.7105e-14,0,1,37.224,49.5,37.224,0
